epoch,full test acc,full test f1,seen test acc,seen test f1,step,train loss,unseen test acc,unseen test f1,val acc,val f1,val loss,val loss sum,val_ref
0,,,,,2,,,,0.47999998927116394,0.5666666626930237,0.7076442241668701,141.52883911132812,0.5666666626930237
0,,,,,2,0.7686216235160828,,,,,,,
1,,,,,5,,,,0.49000000953674316,0.0555555559694767,0.7082465887069702,141.64932250976562,0.0555555559694767
1,,,,,5,0.6803092360496521,,,,,,,
2,,,,,8,,,,0.6549999713897705,0.7272727489471436,0.6500333547592163,130.0066680908203,0.7272727489471436
2,,,,,8,0.6915457844734192,,,,,,,
3,,,,,11,,,,0.5400000214576721,0.6849315166473389,0.6595131158828735,131.90261840820312,0.6849315166473389
3,,,,,11,0.68770432472229,,,,,,,
4,,,,,14,,,,0.5400000214576721,0.14814814925193787,0.6705785989761353,134.11572265625,0.14814814925193787
4,,,,,14,0.6199086308479309,,,,,,,
5,,,,,17,,,,0.7200000286102295,0.6666666865348816,0.5924928784370422,118.49857330322266,0.6666666865348816
5,,,,,17,0.6260193586349487,,,,,,,
6,,,,,20,,,,0.6650000214576721,0.7490636706352234,0.6159986257553101,123.19972229003906,0.7490636706352234
6,,,,,20,0.5730330348014832,,,,,,,
7,,,,,23,,,,0.7599999904632568,0.7446808218955994,0.5684419274330139,113.68839263916016,0.7446808218955994
7,,,,,23,0.5599832534790039,,,,,,,
8,,,,,26,,,,0.6899999976158142,0.5810810923576355,0.5887276530265808,117.74552917480469,0.5810810923576355
8,,,,,26,0.5639042854309082,,,,,,,
9,,,,,29,,,,0.7799999713897705,0.8086956739425659,0.5576047301292419,111.52095031738281,0.8086956739425659
9,,,,,29,0.5394500494003296,,,,,,,
10,,,,,32,,,,0.7850000262260437,0.800000011920929,0.548360288143158,109.67205810546875,0.800000011920929
10,,,,,32,0.5323719382286072,,,,,,,
11,,,,,35,,,,0.7400000095367432,0.6829268336296082,0.5564419031143188,111.28838348388672,0.6829268336296082
11,,,,,35,0.5374951958656311,,,,,,,
12,,,,,38,,,,0.7950000166893005,0.7783783674240112,0.5448178648948669,108.96357727050781,0.7783783674240112
12,,,,,38,0.47722935676574707,,,,,,,
13,,,,,41,,,,0.7950000166893005,0.8093023300170898,0.5369554758071899,107.39109802246094,0.8093023300170898
13,,,,,41,0.5120008587837219,,,,,,,
14,,,,,44,,,,0.7850000262260437,0.8088889122009277,0.5385128855705261,107.70257568359375,0.8088889122009277
14,,,,,44,0.48322272300720215,,,,,,,
15,,,,,47,,,,0.7850000262260437,0.8138527870178223,0.5408143401145935,108.16287231445312,0.8138527870178223
15,,,,,47,0.5016576647758484,,,,,,,
16,,,,,50,,,,0.7900000214576721,0.8073394298553467,0.532197892665863,106.4395751953125,0.8073394298553467
16,,,,,50,0.5061865448951721,,,,,,,
17,,,,,53,,,,0.800000011920929,0.795918345451355,0.5305624604225159,106.11249542236328,0.795918345451355
17,,,,,53,0.48465731739997864,,,,,,,
18,,,,,56,,,,0.800000011920929,0.7872340679168701,0.5328651070594788,106.57302856445312,0.7872340679168701
18,,,,,56,0.48308035731315613,,,,,,,
19,,,,,59,,,,0.8100000023841858,0.800000011920929,0.5318622589111328,106.37245178222656,0.800000011920929
19,,,,,59,0.4880634844303131,,,,,,,
20,0.824999988079071,0.8214285969734192,0.824999988079071,0.8214285969734192,60,,0.824999988079071,0.8214285969734192,,,,,
