epoch,full test acc,full test f1,seen test acc,seen test f1,step,train loss,unseen test acc,unseen test f1,val acc,val f1,val loss,val loss sum,val_ref
0,,,,,2,,,,0.5350000262260437,0.6804123520851135,0.701565146446228,140.3130340576172,0.6804123520851135
0,,,,,2,0.6878830790519714,,,,,,,
1,,,,,5,,,,0.5,0.6666666865348816,0.726897120475769,145.37942504882812,0.6666666865348816
1,,,,,5,0.7387407422065735,,,,,,,
2,,,,,8,,,,0.5249999761581421,0.11214952915906906,0.6757713556289673,135.15426635742188,0.11214952915906906
2,,,,,8,0.6641486287117004,,,,,,,
3,,,,,11,,,,0.5199999809265137,0.07692307978868484,0.6746998429298401,134.93997192382812,0.07692307978868484
3,,,,,11,0.7387291789054871,,,,,,,
4,,,,,14,,,,0.5600000023841858,0.6944444179534912,0.6612005829811096,132.2401123046875,0.6944444179534912
4,,,,,14,0.6235893368721008,,,,,,,
5,,,,,17,,,,0.675000011920929,0.5859872698783875,0.6138715147972107,122.77430725097656,0.5859872698783875
5,,,,,17,0.6100435853004456,,,,,,,
6,,,,,20,,,,0.625,0.45255473256111145,0.6232185959815979,124.64372253417969,0.45255473256111145
6,,,,,20,0.5928905010223389,,,,,,,
7,,,,,23,,,,0.6800000071525574,0.751937985420227,0.6158426403999329,123.16853332519531,0.751937985420227
7,,,,,23,0.5487778782844543,,,,,,,
8,,,,,26,,,,0.7250000238418579,0.7755101919174194,0.5947349667549133,118.94699096679688,0.7755101919174194
8,,,,,26,0.5882580280303955,,,,,,,
9,,,,,29,,,,0.6800000071525574,0.5492957830429077,0.6089854836463928,121.79710388183594,0.5492957830429077
9,,,,,29,0.49609097838401794,,,,,,,
10,,,,,32,,,,0.6899999976158142,0.5694444179534912,0.6000773906707764,120.0154800415039,0.5694444179534912
10,,,,,32,0.5123303532600403,,,,,,,
11,,,,,35,,,,0.7599999904632568,0.7599999904632568,0.5676846504211426,113.53693389892578,0.7599999904632568
11,,,,,35,0.5144384503364563,,,,,,,
12,,,,,38,,,,0.7400000095367432,0.7868852615356445,0.5815954804420471,116.31909942626953,0.7868852615356445
12,,,,,38,0.5158810615539551,,,,,,,
13,,,,,41,,,,0.7799999713897705,0.8053097128868103,0.5672470331192017,113.44940948486328,0.8053097128868103
13,,,,,41,0.5459907650947571,,,,,,,
14,,,,,44,,,,0.7450000047683716,0.7243243455886841,0.5627608895301819,112.55218505859375,0.7243243455886841
14,,,,,44,0.5071923732757568,,,,,,,
15,,,,,47,,,,0.7250000238418579,0.6625766754150391,0.5749808549880981,114.99617767333984,0.6625766754150391
15,,,,,47,0.49838292598724365,,,,,,,
16,,,,,50,,,,0.7450000047683716,0.7150837779045105,0.563899040222168,112.77981567382812,0.7150837779045105
16,,,,,50,0.4850235879421234,,,,,,,
17,,,,,53,,,,0.7699999809265137,0.7604166865348816,0.5575742721557617,111.51485443115234,0.7604166865348816
17,,,,,53,0.469411700963974,,,,,,,
18,,,,,56,,,,0.7799999713897705,0.7755101919174194,0.556243360042572,111.2486801147461,0.7755101919174194
18,,,,,56,0.48452651500701904,,,,,,,
19,,,,,59,,,,0.7749999761581421,0.7715736031532288,0.5560687184333801,111.2137451171875,0.7715736031532288
19,,,,,59,0.458022803068161,,,,,,,
20,0.8374999761581421,0.8441246747970581,0.8374999761581421,0.8441246747970581,60,,0.8374999761581421,0.8441246747970581,,,,,
