epoch,full test acc,full test f1,seen test acc,seen test f1,step,train loss,unseen test acc,unseen test f1,val acc,val f1,val loss,val loss sum,val_ref
0,,,,,2,,,,0.5,0.0,0.7252656817436218,145.05313110351562,0.0
0,,,,,2,0.7273998260498047,,,,,,,
1,,,,,5,,,,0.41499999165534973,0.10687022656202316,0.7102569341659546,142.0513916015625,0.10687022656202316
1,,,,,5,0.713470458984375,,,,,,,
2,,,,,8,,,,0.5299999713897705,0.6269841194152832,0.6930575370788574,138.61151123046875,0.6269841194152832
2,,,,,8,0.7016782164573669,,,,,,,
3,,,,,11,,,,0.5600000023841858,0.6811594367027283,0.6802689433097839,136.0537872314453,0.6811594367027283
3,,,,,11,0.6587581038475037,,,,,,,
4,,,,,14,,,,0.5899999737739563,0.6846153736114502,0.668247401714325,133.64947509765625,0.6846153736114502
4,,,,,14,0.6568201184272766,,,,,,,
5,,,,,17,,,,0.699999988079071,0.7222222089767456,0.6563535928726196,131.27072143554688,0.7222222089767456
5,,,,,17,0.6551136374473572,,,,,,,
6,,,,,20,,,,0.6899999976158142,0.6630434989929199,0.648739218711853,129.74786376953125,0.6630434989929199
6,,,,,20,0.6555802822113037,,,,,,,
7,,,,,23,,,,0.7049999833106995,0.6508875489234924,0.6424304246902466,128.486083984375,0.6508875489234924
7,,,,,23,0.6402372717857361,,,,,,,
8,,,,,26,,,,0.7250000238418579,0.6820809245109558,0.6359674334526062,127.19348907470703,0.6820809245109558
8,,,,,26,0.6372063159942627,,,,,,,
9,,,,,29,,,,0.7300000190734863,0.699999988079071,0.6305558085441589,126.11116027832031,0.699999988079071
9,,,,,29,0.6399526000022888,,,,,,,
10,,,,,32,,,,0.7400000095367432,0.717391312122345,0.6261191368103027,125.22383117675781,0.717391312122345
10,,,,,32,0.6242694854736328,,,,,,,
11,,,,,35,,,,0.7350000143051147,0.7253885865211487,0.62205970287323,124.41194915771484,0.7253885865211487
11,,,,,35,0.6280308365821838,,,,,,,
12,,,,,38,,,,0.7350000143051147,0.728205144405365,0.6192516684532166,123.85033416748047,0.728205144405365
12,,,,,38,0.6255393624305725,,,,,,,
13,,,,,41,,,,0.7300000190734863,0.7216494679450989,0.6170681715011597,123.41363525390625,0.7216494679450989
13,,,,,41,0.6281521916389465,,,,,,,
14,,,,,44,,,,0.7300000190734863,0.71875,0.6152373552322388,123.04747772216797,0.71875
14,,,,,44,0.6075565814971924,,,,,,,
15,,,,,47,,,,0.7250000238418579,0.7089946866035461,0.6142134070396423,122.84268951416016,0.7089946866035461
15,,,,,47,0.5962725281715393,,,,,,,
16,,,,,50,,,,0.7400000095367432,0.7204301357269287,0.6131624579429626,122.63249206542969,0.7204301357269287
16,,,,,50,0.6147759556770325,,,,,,,
17,,,,,53,,,,0.7400000095367432,0.7204301357269287,0.6124952435493469,122.4990463256836,0.7204301357269287
17,,,,,53,0.5881115794181824,,,,,,,
18,,,,,56,,,,0.7400000095367432,0.7204301357269287,0.6120072603225708,122.40145874023438,0.7204301357269287
18,,,,,56,0.5940361022949219,,,,,,,
19,,,,,59,,,,0.7400000095367432,0.7204301357269287,0.6118136644363403,122.36273956298828,0.7204301357269287
19,,,,,59,0.611954927444458,,,,,,,
20,0.7975000143051147,0.7906976938247681,0.7975000143051147,0.7906976938247681,60,,0.7975000143051147,0.7906976938247681,,,,,
