epoch,full test acc,full test f1,seen test acc,seen test f1,step,train loss,unseen test acc,unseen test f1,val acc,val f1,val loss,val loss sum,val_ref
0,,,,,2,,,,0.4099999964237213,0.4040403962135315,0.7144976854324341,142.8995361328125,0.4040403962135315
0,,,,,2,0.7818023562431335,,,,,,,
1,,,,,5,,,,0.4950000047683716,0.47668394446372986,0.6953428387641907,139.06857299804688,0.47668394446372986
1,,,,,5,0.7037871479988098,,,,,,,
2,,,,,8,,,,0.6150000095367432,0.5837838053703308,0.6699162125587463,133.98324584960938,0.5837838053703308
2,,,,,8,0.6895809173583984,,,,,,,
3,,,,,11,,,,0.6600000262260437,0.6000000238418579,0.6494380831718445,129.8876190185547,0.6000000238418579
3,,,,,11,0.6551967263221741,,,,,,,
4,,,,,14,,,,0.7049999833106995,0.6943005323410034,0.6321253776550293,126.42507934570312,0.6943005323410034
4,,,,,14,0.6028326153755188,,,,,,,
5,,,,,17,,,,0.7300000190734863,0.6785714030265808,0.6203141808509827,124.0628433227539,0.6785714030265808
5,,,,,17,0.588945209980011,,,,,,,
6,,,,,20,,,,0.7250000238418579,0.6666666865348816,0.6105155348777771,122.10311126708984,0.6666666865348816
6,,,,,20,0.5408404469490051,,,,,,,
7,,,,,23,,,,0.7149999737739563,0.6459627151489258,0.6028938293457031,120.57877349853516,0.6459627151489258
7,,,,,23,0.5290530323982239,,,,,,,
8,,,,,26,,,,0.7200000286102295,0.6585366129875183,0.595923900604248,119.18478393554688,0.6585366129875183
8,,,,,26,0.5493490695953369,,,,,,,
9,,,,,29,,,,0.7400000095367432,0.6904761791229248,0.5869189500808716,117.3837890625,0.6904761791229248
9,,,,,29,0.5143993496894836,,,,,,,
10,,,,,32,,,,0.7749999761581421,0.748603343963623,0.5789377689361572,115.78755187988281,0.748603343963623
10,,,,,32,0.5116599202156067,,,,,,,
11,,,,,35,,,,0.7649999856948853,0.7283236980438232,0.5750054121017456,115.00108337402344,0.7283236980438232
11,,,,,35,0.5024310946464539,,,,,,,
12,,,,,38,,,,0.7699999809265137,0.7356321811676025,0.5713748931884766,114.27498626708984,0.7356321811676025
12,,,,,38,0.49068841338157654,,,,,,,
13,,,,,41,,,,0.7699999809265137,0.7356321811676025,0.5686495900154114,113.72991943359375,0.7356321811676025
13,,,,,41,0.5145450234413147,,,,,,,
14,,,,,44,,,,0.7649999856948853,0.7283236980438232,0.5669973492622375,113.39946746826172,0.7283236980438232
14,,,,,44,0.486428827047348,,,,,,,
15,,,,,47,,,,0.7649999856948853,0.7283236980438232,0.5656957030296326,113.1391372680664,0.7283236980438232
15,,,,,47,0.4827095568180084,,,,,,,
16,,,,,50,,,,0.7749999761581421,0.7428571581840515,0.5637909770011902,112.75819396972656,0.7428571581840515
16,,,,,50,0.46935901045799255,,,,,,,
17,,,,,53,,,,0.7649999856948853,0.7283236980438232,0.5633366107940674,112.66732025146484,0.7283236980438232
17,,,,,53,0.4804116487503052,,,,,,,
18,,,,,56,,,,0.7649999856948853,0.7283236980438232,0.562823474407196,112.564697265625,0.7283236980438232
18,,,,,56,0.4610661566257477,,,,,,,
19,,,,,59,,,,0.7699999809265137,0.7356321811676025,0.5626119375228882,112.52238464355469,0.7356321811676025
19,,,,,59,0.47839343547821045,,,,,,,
20,0.8224999904632568,0.800000011920929,0.8224999904632568,0.800000011920929,60,,0.8224999904632568,0.800000011920929,,,,,
