epoch,full test acc,full test f1,seen test acc,seen test f1,step,train loss,unseen test acc,unseen test f1,val acc,val f1,val loss,val loss sum,val_ref
0,,,,,2,,,,0.49000000953674316,0.3928571343421936,0.6950529217720032,139.01058959960938,0.3928571343421936
0,,,,,2,0.6942636370658875,,,,,,,
1,,,,,5,,,,0.5149999856948853,0.17094017565250397,0.6907241940498352,138.14483642578125,0.17094017565250397
1,,,,,5,0.7140777707099915,,,,,,,
2,,,,,8,,,,0.5049999952316284,0.019801979884505272,0.6878474950790405,137.56951904296875,0.019801979884505272
2,,,,,8,0.7024309039115906,,,,,,,
3,,,,,11,,,,0.6549999713897705,0.5714285969734192,0.6610260605812073,132.20521545410156,0.5714285969734192
3,,,,,11,0.6624476313591003,,,,,,,
4,,,,,14,,,,0.7350000143051147,0.7623318433761597,0.6504819989204407,130.09640502929688,0.7623318433761597
4,,,,,14,0.6475006937980652,,,,,,,
5,,,,,17,,,,0.7850000262260437,0.7881773114204407,0.6413671970367432,128.2734375,0.7881773114204407
5,,,,,17,0.6106958389282227,,,,,,,
6,,,,,20,,,,0.7649999856948853,0.7564767003059387,0.6335569620132446,126.71139526367188,0.7564767003059387
6,,,,,20,0.5808219909667969,,,,,,,
7,,,,,23,,,,0.7799999713897705,0.7731958627700806,0.6267108917236328,125.34217834472656,0.7731958627700806
7,,,,,23,0.6103636622428894,,,,,,,
8,,,,,26,,,,0.7799999713897705,0.7708333134651184,0.6209526658058167,124.19053649902344,0.7708333134651184
8,,,,,26,0.5664332509040833,,,,,,,
9,,,,,29,,,,0.7950000166893005,0.7918781638145447,0.6159611940383911,123.1922378540039,0.7918781638145447
9,,,,,29,0.6047211289405823,,,,,,,
10,,,,,32,,,,0.7950000166893005,0.7853403091430664,0.6119131445884705,122.38263702392578,0.7853403091430664
10,,,,,32,0.5725125670433044,,,,,,,
11,,,,,35,,,,0.800000011920929,0.7872340679168701,0.6084451675415039,121.68904113769531,0.7872340679168701
11,,,,,35,0.561102569103241,,,,,,,
12,,,,,38,,,,0.800000011920929,0.7938144207000732,0.6051797270774841,121.03594970703125,0.7938144207000732
12,,,,,38,0.5518941879272461,,,,,,,
13,,,,,41,,,,0.7950000166893005,0.7960199117660522,0.6026948094367981,120.5389633178711,0.7960199117660522
13,,,,,41,0.5356874465942383,,,,,,,
14,,,,,44,,,,0.800000011920929,0.8039215803146362,0.6008410453796387,120.168212890625,0.8039215803146362
14,,,,,44,0.5352346897125244,,,,,,,
15,,,,,47,,,,0.8149999976158142,0.8229665160179138,0.5997925400733948,119.95851135253906,0.8229665160179138
15,,,,,47,0.5116305947303772,,,,,,,
16,,,,,50,,,,0.8149999976158142,0.8229665160179138,0.5983969569206238,119.67938995361328,0.8229665160179138
16,,,,,50,0.5224559307098389,,,,,,,
17,,,,,53,,,,0.8050000071525574,0.8115941882133484,0.5971153378486633,119.4230728149414,0.8115941882133484
17,,,,,53,0.5247976779937744,,,,,,,
18,,,,,56,,,,0.800000011920929,0.801980197429657,0.5963810086250305,119.27620697021484,0.801980197429657
18,,,,,56,0.5138004422187805,,,,,,,
19,,,,,59,,,,0.800000011920929,0.801980197429657,0.5961506962776184,119.23014068603516,0.801980197429657
19,,,,,59,0.524163544178009,,,,,,,
20,0.737500011920929,0.7394540905952454,0.737500011920929,0.7394540905952454,60,,0.737500011920929,0.7394540905952454,,,,,
