epoch,full test acc,full test f1,seen test acc,seen test f1,step,train loss,unseen test acc,unseen test f1,val acc,val f1,val loss,val loss sum,val_ref
0,,,,,2,,,,0.5649999976158142,0.4161073863506317,0.688920795917511,137.7841796875,0.4161073863506317
0,,,,,2,0.6846125721931458,,,,,,,
1,,,,,5,,,,0.6050000190734863,0.39694657921791077,0.6739941239356995,134.798828125,0.39694657921791077
1,,,,,5,0.6973481178283691,,,,,,,
2,,,,,8,,,,0.7649999856948853,0.7403314709663391,0.6490681171417236,129.81362915039062,0.7403314709663391
2,,,,,8,0.6591829657554626,,,,,,,
3,,,,,11,,,,0.800000011920929,0.7938144207000732,0.6295229196548462,125.90458679199219,0.7938144207000732
3,,,,,11,0.6224234104156494,,,,,,,
4,,,,,14,,,,0.8199999928474426,0.8105263113975525,0.6131522059440613,122.63044738769531,0.8105263113975525
4,,,,,14,0.6388378143310547,,,,,,,
5,,,,,17,,,,0.800000011920929,0.7674418687820435,0.6011473536491394,120.22947692871094,0.7674418687820435
5,,,,,17,0.5961769223213196,,,,,,,
6,,,,,20,,,,0.7900000214576721,0.7529411911964417,0.5913518667221069,118.27037811279297,0.7529411911964417
6,,,,,20,0.604776918888092,,,,,,,
7,,,,,23,,,,0.8100000023841858,0.7710843086242676,0.5843481421470642,116.86962890625,0.7710843086242676
7,,,,,23,0.5942198634147644,,,,,,,
8,,,,,26,,,,0.824999988079071,0.7976878881454468,0.5747561454772949,114.95123291015625,0.7976878881454468
8,,,,,26,0.5768673419952393,,,,,,,
9,,,,,29,,,,0.8299999833106995,0.8089887499809265,0.5670594573020935,113.4118881225586,0.8089887499809265
9,,,,,29,0.5713694095611572,,,,,,,
10,,,,,32,,,,0.8550000190734863,0.8432432413101196,0.5600982308387756,112.0196533203125,0.8432432413101196
10,,,,,32,0.5678957104682922,,,,,,,
11,,,,,35,,,,0.8550000190734863,0.8432432413101196,0.5552141666412354,111.04283142089844,0.8432432413101196
11,,,,,35,0.576223611831665,,,,,,,
12,,,,,38,,,,0.8550000190734863,0.8465608358383179,0.5508570671081543,110.17141723632812,0.8465608358383179
12,,,,,38,0.5728930234909058,,,,,,,
13,,,,,41,,,,0.8500000238418579,0.8404255509376526,0.5477762222290039,109.55524444580078,0.8404255509376526
13,,,,,41,0.5588764548301697,,,,,,,
14,,,,,44,,,,0.8500000238418579,0.8404255509376526,0.5452609658241272,109.05220031738281,0.8404255509376526
14,,,,,44,0.516719400882721,,,,,,,
15,,,,,47,,,,0.8550000190734863,0.8465608358383179,0.5430838465690613,108.61676788330078,0.8465608358383179
15,,,,,47,0.5348578095436096,,,,,,,
16,,,,,50,,,,0.8500000238418579,0.8404255509376526,0.5417851805686951,108.35704040527344,0.8404255509376526
16,,,,,50,0.5580940246582031,,,,,,,
17,,,,,53,,,,0.8500000238418579,0.8404255509376526,0.5407589673995972,108.15179443359375,0.8404255509376526
17,,,,,53,0.519596517086029,,,,,,,
18,,,,,56,,,,0.8500000238418579,0.8404255509376526,0.5400919914245605,108.01840209960938,0.8404255509376526
18,,,,,56,0.5413366556167603,,,,,,,
19,,,,,59,,,,0.8500000238418579,0.8404255509376526,0.5399181842803955,107.983642578125,0.8404255509376526
19,,,,,59,0.5403912663459778,,,,,,,
20,0.8550000190734863,0.8473684191703796,0.8550000190734863,0.8473684191703796,60,,0.8550000190734863,0.8473684191703796,,,,,
